video_id,clip_id,text,label,mode
-UuX1xuaiiE,12_898,^- The work that I'm doing at the Human Right Center ^is that I am annotating a memoir about ^_ and genocide,1.6666666,train
-UuX1xuaiiE,19_937,My goal is to become a human rights lawyer,0.33333334,train
-UuX1xuaiiE,22_97,- The experience with the center was really informative of what I ended up doing after I graduated,2.0,train
-UuX1xuaiiE,28_139,"In fact, it's sort of how I got my job",1.0,train
-UuX1xuaiiE,30_5235,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",-0.33333334,train
-UuX1xuaiiE,37_9365,That included doing early warning of potential ^human rights violations and war crimes around the world,-1.3333334,train
-UuX1xuaiiE,43_339,"^- I think it's very important for any student ^if you're gonna have a leadership role ^in business or politics and law, finance",1.6666666,train
-UuX1xuaiiE,51_3405,Having at least an awareness and sensitivity to human rights issues is critical in today's world,0.6666667,train
-WXXTNIJcVM,0_0,"""I just have a passion for it",2.0,train
-WXXTNIJcVM,1_6785,"It's so fun, and it's a great workout",1.6666666,train
-WXXTNIJcVM,4_6815,"And number two, it's awesome",2.3333333,train
-WXXTNIJcVM,8_019,""" Strong social media game With over half a million followers on both her Twitter and Instagram pages, De La Garza has cultivated her stardom into a loyal fanbase",1.6666666,train
-WXXTNIJcVM,31_44,"Surprisingly, she doesn't seem to have an official Facebook page, so either kids are too cool for that now, or she reads all of her grumpy older relatives' political gripes elsewhere",0.33333334,train
-ZgjBOA1Yhw,10_837,But our Ukrainian partners rejected this possibility for reasons unknown to me.,-0.33333334,train
-ZgjBOA1Yhw,19_279,It is common knowledge that the reverse-flow gas that they (Ukraine) are receiving from several European countries costs $20-30 more for consumers.,-0.6666667,train
-ZgjBOA1Yhw,37_107,"Is it cheaper to receive Russian gas, or to get reverse-flow gas for $20-30 dollars more than the Russian price.",-0.33333334,train
-ZgjBOA1Yhw,46_402,"That means paying the price of $270-280 per 1,000 cubic metre, that's the possible price for the third quarter.",0.33333334,train
-ZgjBOA1Yhw,60_993,"If it is profitable for them [Ukrainian authorities] to pay at the expense of consumers, at the expense of their citizens, it is their personal choice.",0.33333334,train
-ZgjBOA1Yhw,71_759,Let them answer to their people who have to understand at what price the gas is purchased from friendly European countries.,0.0,train
-a55Q6RWvTA,17_112,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",0.6666667,train
-aNfi7CP8vM,48_112,"Did they grow up in a very strict, staunch Republican household and so because of that now they're a very, very liberal Democrat?",0.0,train
-aNfi7CP8vM,27_639,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",0.0,train
-aqamKhZ1Ec,0_0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2.0,train
-aqamKhZ1Ec,10_389,"And even after the election and the tribal warfare was going on, tribal people were killing one another, but Equity had branches all over the country.",-0.6666667,train
-aqamKhZ1Ec,29_115,"They didn't hurt anybody as they-- it was a terrible time, but Equity was kind of an oasis of peace, because everybody said, this bank is my bank, so I'm not going to do anything to this bank.",-0.33333334,train
-dxfTGcXJoc,0_0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",1.0,train
-dxfTGcXJoc,20_306,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",1.6666666,train
-dxfTGcXJoc,36_19499999999999,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",0.6666667,train
-dxfTGcXJoc,52_708,"As governor, I participated in several meetings with executives from high-tech companies who are interested in doing business in, or with, Kentucky.",1.3333334,train
-dxfTGcXJoc,62_376000000000005,They were all impressed by the thriving lifescience sector in our state.,1.6666666,train
-dxfTGcXJoc,67_255,"As a result of these meetings, one or more of these companies may soon expand their existing Kentucky facilities, or establish new operations in our state.",2.0,train
-dxfTGcXJoc,77_465,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,0.6666667,train
-dxfTGcXJoc,90_107,Our state pavilion provides an eye-catching environment in which Kentucky biotech companies and organizations can meet prospective customers and business partners.,1.0,train
-egA8-b7-3M,1_268,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,0.6666667,train
-egA8-b7-3M,68_1325,"This is an opportunity for you to highlight your products, your testimonials that you have gotten from clients, letters of recommendation and publications.",0.33333334,train
-egA8-b7-3M,86_116,"What are you doing that's different?"" They always want an answer.",0.33333334,train
-egA8-b7-3M,93_848,"You can look at what you want to share with your clients, about what you're doing and what's new in your practice.",0.0,train
-egA8-b7-3M,101_561,"Third, another big benefit of exhibiting is connecting with existing clients.",0.6666667,train
-egA8-b7-3M,106_8795,"As you have more experience, you have more times exhibiting, you get to know more people.",0.33333334,train
-egA8-b7-3M,113_5595,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,1.0,train
-egA8-b7-3M,11_282,In this video I share tips about exhibiting your services at an attorney conference.,0.0,train
-egA8-b7-3M,124_788,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",0.33333334,train
-egA8-b7-3M,150_509,Things could shift and that customer could change the type of cases that he or she is handling.,0.0,train
-egA8-b7-3M,157_235,By continually seeking new clients you build a stronger business.,1.3333334,train
-egA8-b7-3M,162_648,"Get detailed information on how to successfully exhibit by investing in a copy of my book, ""Secrets of Expanding a Legal Nurse Consulting Business"". Go to the link on this screen which will take you to www.legalnursebusiness.com While you're on my site, grab your free e-books, sign up for our free e-zines and please subscribe to this YouTube channel.",1.3333334,train
-egA8-b7-3M,189_1075,We're updating it all the time and looking forward to your comments on our videos.,1.6666666,train
-egA8-b7-3M,17_772,One of the things that is most important to do when you consider exhibiting is to think about your goals.,0.6666667,train
-egA8-b7-3M,27_858,Here are three goals that you can achieve by signing up to become an exhibitor at an attorney conference.,0.33333334,train
-egA8-b7-3M,35_1875,First exhibiting is a wonderful opportunity to network with other legal vendors.,0.6666667,train
-egA8-b7-3M,63_377,"Secondly, another goal of exhibiting  is building your company image.",0.33333334,train
-iRBcNs9oI8,0_340589569161,And this secret will also help you if you ever decide to ask out that special someone,1.6666666,train
-iRBcNs9oI8,36_8537414966,"It's when you're very confident, when you're strong and you feel strong",2.0,train
-iRBcNs9oI8,42_1455782313,"Then we have our second word: ""pose""",0.0,train
-iRBcNs9oI8,8_044217687075001,"So, what is this secret I'm telling you about",1.0,train
-iRBcNs9oI8,10_5235827664,"Well, it is the secret of power pose",0.6666667,train
-iRBcNs9oI8,16_2743764172,"So, first of all, what am I talking about",0.0,train
-iRBcNs9oI8,19_9920634921,What is a power pose,0.33333334,train
-iRBcNs9oI8,22_06235827665,"Well, for starters, let's look at the word ""power""",0.6666667,train
-iRBcNs9oI8,25_6442176871,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",1.0,train
-iRBcNs9oI8,33_7546485261,Power is similar to strength,1.3333334,train
-lqc32Zpr7M,0_0,You got to visit your family for the holidays and your mom and dad has some big news.,0.0,train
-lqc32Zpr7M,38_514,"You're going to plead with God, plead with the higher being above, plead with anyone who will listen that you don't want this person to leave you in your life.",0.33333334,train
-lqc32Zpr7M,76_448,"This is an extremely hard time and a way to learn a lot about yourself, your family and your friends; but acceptance is the ultimate stage.",-0.6666667,train
-lqc32Zpr7M,22_4,There are several different stages that you're going to go through when coping with a dying person.,-0.6666667,train
-lzEya4AM_4,78_23,"Again, keep in mind, if it's some type of petroleum or corrosive product we would not want to induce vomiting of any type.",-0.33333334,train
-lzEya4AM_4,25_124,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",-0.6666667,train
-lzEya4AM_4,32_907,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",-0.33333334,train
-lzEya4AM_4,47_4745,"But as long as it's plant, food, or drug we would induce vomiting.",0.0,train
-lzEya4AM_4,63_347,"Once nausea and vomiting occur, we would mix charcoal, activated charcoal with water; commonly found in many first aid kits, and have the person drink that to absorb whatever residual poisons may be left in the stomach area.",0.6666667,train
-mJ2ud6oKI8,0_47029478458,There are a dozen or more hands on techniques that we can do,0.0,train
-mJ2ud6oKI8,6_28321995465,So physical therapists and chiropractors will do joint manipulations and mobilizations,0.0,train
-mJ2ud6oKI8,11_456462585,If you go to the HipTrac website or Youtube channel you'll see some demonstrations of these techniques,0.0,train
-mJ2ud6oKI8,16_1757369615,You can go to the Youtube channel and you can see demonstrations of some of these techniques,0.0,train
-mJ2ud6oKI8,21_6732426304,"Some of them are very relaxing, very gentle, very pain relieving",1.3333334,train
-mJ2ud6oKI8,25_6841269841,They are all very safe,0.33333334,train
-mJ2ud6oKI8,27_2206349206,Then there are ones that are a little less comfortable,0.0,train
-mJ2ud6oKI8,29_9743764172,Sometimes we have to stretch that joint that is already irritated,-0.33333334,train
-mJ2ud6oKI8,33_31678004535,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",0.0,train
-mqbVkbCndg,0_0,"How, at a particular moment in time—our moment in time—are they limited",0.0,train
-mqbVkbCndg,6_1585,And how could we get beyond those limits,0.0,train
-mqbVkbCndg,51_055,I said this is a thoroughly pragmatist approach and it is because it’s not about perfection,0.33333334,train
-t217m2on-s,10_647,"But a good thing to do is yawning, chewing gum is effective.",0.6666667,train
-t217m2on-s,43_183,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",-0.6666667,train
-tANM6ETl_M,0_0,"The biggest mistake people make when they start positioning their products or their services or their businesses, is to take a position that somebody else has already got.",-0.6666667,train
-tANM6ETl_M,19_008,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",0.33333334,train
-tANM6ETl_M,25_3445,"""I've never chewed gum before, I've never drank a soda pop before, I've never done it before."" The other place customers come from is, ""I've done it before but I'm unhappy with the way I'm doing it."" So it's either somebody who's never done it before, or somebody that's done it before but they're unhappy.",0.33333334,train
-tPCytz4rww,48_611,Say twenty percent so if you've got a thousand square foot condo.,0.0,train
-tPCytz4rww,52_9075,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",0.0,train
-tPCytz4rww,57_402,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",0.0,train
-tPCytz4rww,81_027,So make sure to get a through or to do a through cleaning of the property.,0.0,train
-tPCytz4rww,90_955,Do so and as well you'll also want to remove any clutter from that you've accumulated.,0.0,train
-tPCytz4rww,102_588,Just a couple ideas to get you started on how to sell your condo.,0.0,train
-vxjVxOeScU,24_396,Don't worry a wedding anniversary speech is one of the easiest speeches to write and give.,0.6666667,train
-vxjVxOeScU,35_94,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",1.0,train
-vxjVxOeScU,60_085,"But usually the length of time that a couple has been married really gives you all the information you need to make a great speech, they're very short; they're very sweet, they're very simple.",1.3333334,train
-wMB_hJL-3o,0_0,Hi my name is Dr. Art Bowler and I am a psychologist in Manhattan New York City where I have my own private practice.,1.0,train
-wMB_hJL-3o,30_642,"The best way to help a depressed person is to first notice that they are depressed and when you do notice, talk to them about it.",1.3333334,train
-wMB_hJL-3o,64_914,"There are many different treatments helpful for depression by psychologists and psychiatrist alike including behavior modification, cognitive therapy and medication management.",0.6666667,train
-wMB_hJL-3o,75_9695,So if you have a loved one who is depressed those are some of the things that you should think about doing.,0.33333334,train
-wny0OAz3g8,0_0,trade labor unions didn’t allow Black workers to join,0.33333334,train
-wny0OAz3g8,2_756,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",0.33333334,train
-wny0OAz3g8,8_513,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",-0.33333334,train
-wny0OAz3g8,14_021,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,-1.3333334,train
-wny0OAz3g8,19_099,The prevailing beliefs about race and racism ultimately reinforced themselves,0.0,train
-wny0OAz3g8,22_591,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",1.0,train
-wny0OAz3g8,38_065,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,0.0,train
-wny0OAz3g8,45_519000000000005,Another modern look at these issues can be seen in the work of sociologist William Julius Wilson,0.0,train
-wny0OAz3g8,49_72,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",0.6666667,train
03X1FwF6udc,76_797,In terms of looking at the three different types of goals it's important to note that if you are saving for a short term goal I would highly recommend that you invest that money liquid.,0.33333334,train
03X1FwF6udc,92_691,"Something that's going to be save, it's going to be liquid.",0.0,train
03X1FwF6udc,110_081,You want to make sure you have a hundred percent of the money that you originally saved for that goal.,0.6666667,train
03X1FwF6udc,152_066,I'm a Certified Financial Planner with Asti Financial Management . And you can learn more about my services and my company at www dot asti financial dot com.,0.33333334,train
03X1FwF6udc,10_946,"Because you want to make sure that after, as your income comes in and you've paid all of your fixed and your variable expenses that you have some money that you can actually dedicate to a savings plan.",0.0,train
03X1FwF6udc,20_037,So the first step is definitely going to be able to create a working budget that provides you with hopefully positive cash flow in which you can start a savings plan.,0.6666667,train
03X1FwF6udc,39_751,"Short term goals, intermediate term goals, and longer term goals.",0.33333334,train
07Z16yRBFUQ,15_845,That is to say they are trying to put money away for retirement when they are not working.,0.6666667,train
07Z16yRBFUQ,37_297,"That being said mutual funds have rules and the most notable rules are past performance, there's no indication of fair value, and may lose value and not insured by any federal government agency.",0.0,train
07Z16yRBFUQ,49_555,"So be mindful of your risk tolerance, the younger you are the more risk you can assume and as you get older make sure you pare back on the risk.",0.0,train
08d4NTXkSxw,134_55,"I think, up until that time, there was not a whole lot of notoriety that was coming to the Friendship Nine",0.0,train
08d4NTXkSxw,140_46,"But, at the time, I was serving on the Cultural and Heritage Museum Board",0.0,train
08d4NTXkSxw,145_23,"And if you knew anything about the turn of the century, everybody was trying to decide, what was the biggest thing that happened in the previous century",0.33333334,train
08d4NTXkSxw,181_71,LAUREL HOLTZAPPLE: So the impetus of the project was the Friendship Nine and the vacating of their sentences for trespassing,0.0,train
0AA-wmk8WdA,10_627,"But I think for many of us, it exposed maybe a lot of issues that were happening underneath the water.",0.33333334,train
0AA-wmk8WdA,78_403,And I think we need to adjust to that as well as a company.,1.0,train
0AkGtPzl7D8,32_448,Many times the best way to invest is to be completely risk averse.,0.6666667,train
0BVed2nBq1g,36_93,Very first one we have is Drama Queen,0.0,train
0BVed2nBq1g,39_510000000000005,Drama queen is used especially for a woman who is extremely melodramatic,0.6666667,train
0BVed2nBq1g,48_27,Like for a situation or for an event the way this woman would react will be in a very exaggerated and melodramatic way,-0.33333334,train
0BVed2nBq1g,57_57,"Like for example, a friend of mine lost her wallet",-0.6666667,train
0BVed2nBq1g,62_91,"And this another friend of mine was like ""Oh no, Really",-0.33333334,train
0BVed2nBq1g,70_44,"Now that's quite and exaggerated reaction, right",0.0,train
0BVed2nBq1g,74_04,SO she is such a drama queen,0.6666667,train
0DBfvvIVmqY,0_410430839002,What books are you currently reading,1.0,train
0DBfvvIVmqY,35_22743764175,"For those of you who were curious about that, I do plan on doing an updated apartment tour and an updated room tour",0.33333334,train
0DBfvvIVmqY,41_80249433105,So [snaps] look forward to that,1.3333334,train
0DBfvvIVmqY,44_5462585034,If you could spend Christmas with any J,0.33333334,train
0DBfvvIVmqY,46_5566893424,"K Rowling character Fantastic Beasts and Marauders included, who would it be",0.6666667,train
0DBfvvIVmqY,14_6780045351,so I definitely recommend to check them out,1.3333334,train
0DBfvvIVmqY,17_8469387755,A Harry Potter mug or a Star Wars mug,0.33333334,train
0DBfvvIVmqY,20_6755102041,I'm probably gonna go with Harry Potter,0.33333334,train
0DBfvvIVmqY,24_4857142857,"we probably all know the answer to that right now, so say it with me folks",0.6666667,train
0DBfvvIVmqY,29_51541950115,"Starbuck's salted caramel, hot chocolate",2.3333333,train
0DBfvvIVmqY,32_7181405896,Do you plan on doing a house tour,0.6666667,train
0EAAfLCQabY,231_87,hearing loss when I was four to the time I was like in my twenties,-0.33333334,train
0EAAfLCQabY,236_49,I didn't want anyone to know,-0.6666667,train
0EAAfLCQabY,238_23,"It was a huge secret and I didn't tell anyone: my friends, family members, i did not want anyone to know",-0.6666667,train
0EphpADwdPg,129_36,"Disney, but from all over the place-what we hear in the radio",0.33333334,train
0EphpADwdPg,132_51,"So for those of us in the theatres, watching Frozen for the first time, again, we see this build-up happening",0.33333334,train
0EphpADwdPg,141_18,"And we were probably subconsciously just expecting ""Let it Go",0.0,train
0EphpADwdPg,163_56,"So that it does happen, but the SECOND time the chorus comes in",0.6666667,train
0EphpADwdPg,168_0,"And the first time let's do something completely magical, something sweet, something completely unexpected",1.6666666,train
0EphpADwdPg,175_02,"So, with that in mind, let's imagine going back to the first time we watched the movie",1.0,train
0FA32bEZ6xI,5_29931972789,"Welcome to the Monday Morning Brief for February 6, 2017",0.33333334,train
0FA32bEZ6xI,8_19387755102,The Citizens’ Stamp Advisory Committee is down to 11 members,0.0,train
0FA32bEZ6xI,58_9185941043,commemorative stamps ever — and other similar special-interest stamps that led to a call for a group to oversee the selection of topics to be honored on our postage,1.0,train
0FA32bEZ6xI,68_42698412695,"Whatever the impetus, it was almost a decade before the Citizens’ Stamp Advisory Committee was established by Postmaster General Arthur E",0.0,train
0FA32bEZ6xI,77_1371882086,Summerfield in March of 1957,0.0,train
0FA32bEZ6xI,79_00294784580001,"The announcement at the time said that the group “shall advise the Post Office Department on any matters pertaining to the subject matter, design, production and issuance of postage stamps",0.33333334,train
0FA32bEZ6xI,93_0299319728,” The role of the committee hasn’t changed much,0.33333334,train
0FA32bEZ6xI,95_91451247165,"On its website today, the United States Postal Service says, “The group selects subjects for recommendation as future stamp issues, made with all postal customers in mind, including stamp collectors",0.0,train
0FA32bEZ6xI,110_091156463,"” Also, as in 1957, the postmaster general is the one who appoints new committee members",0.0,train
0FA32bEZ6xI,116_546485261,"These members come from many different fields, the Postal Service specifically states that they “provide expertise on history, science and technology, art, education, sports, and other subjects of public interest",0.0,train
0FA32bEZ6xI,130_804081633,” The stamp hobby is represented as well,0.0,train
0FA32bEZ6xI,133_7934240365,"The committee is currently chaired by Janet Klug, a lifelong collector, a former president of the American Philatelic Society and a Linn’s columnist",0.33333334,train
0FA32bEZ6xI,14_0455782313,Henry Louis Gates Jr,0.0,train
0FA32bEZ6xI,145_141496599,"Another prominent collector and the former chief curator of philately for the Smithsonian National Postal Museum, Cheryl Ganz, also serves on the committee",0.0,train
0FA32bEZ6xI,156_655328798,"As Bill McAllister points out in his report about Gates’ departure from the committee, its deliberations are kept secret",0.0,train
0FA32bEZ6xI,163_929931973,"However, McAllister said that Gates told him in an interview that the panel has approved all his suggestions for stamps celebrating the contributions of African-Americans to the United States",0.6666667,train
0FA32bEZ6xI,176_66984127,These include the three most recent stamps in the Black Heritage series,0.0,train
0FA32bEZ6xI,181_548752834,"They honori architect Robert Robinson Taylor; Bishop Richard Allen, founder of the African Methodist Episcopal Church; and most recently civil rights leader and activist Dorothy Height",0.0,train
0FA32bEZ6xI,194_121315193,"She was honored on a stamp just issued February 1, the first day of Black History Month",0.6666667,train
0FA32bEZ6xI,199_936961451,"Gates also told McAllister that an upcoming set of stamps will commemorate key players in the Harlem Renaissance, an early 20th-century cultural, artistic and social explosion",0.0,train
0FA32bEZ6xI,212_099319728,"Gates himself has been pictured on a postage stamp, part of a pane of six issued by Ghana in 1998 paying tribute to Great Black Writers of the 20th Century",0.0,train
0FA32bEZ6xI,221_8682539685,"For Linn’s Stamp News and Scott catalogs, I’m Denise McCarty",0.0,train
0FA32bEZ6xI,225_579818594,Keep up on the latest stamp news by following Linn’s on Linns,0.0,train
0FA32bEZ6xI,15_5671201814,has left after serving the maximum 12 years allowed on the panel,0.0,train
0FA32bEZ6xI,19_4172335601,"In an interview with Linn’s Washington Correspondent Bill McAllister, Gates said he would have never resigned from the panel, adding that it was his favorite one to serve on",0.33333334,train
0FA32bEZ6xI,29_1650793651,"In addition to being a noted Harvard professor of African and African-American research, Gates is a literary scholar, journalist, author, filmmaker",0.6666667,train
0FA32bEZ6xI,39_3818594104,"His documentaries include Finding Your Roots, which currently airs on PBS",0.0,train
0FA32bEZ6xI,43_403854875250005,The roots of the Citizens’ Stamp Advisory Committee are believed to date back to the 1940s,0.33333334,train
0FA32bEZ6xI,49_879138322,Many have suggested that it was the 1948 3¢ Poultry Industrial Chicken stamp — which has long been widely regarded as one of the least-necessary U,-0.6666667,train
0JuRmhhgMw8,0_351,"Dear learners, a warm welcome to the online courses in this objective political science",1.0,train
0JuRmhhgMw8,5_7695,The online course1 Indian Constitution at work introduces the making and working of our Constitution since 1950 in a detailed manner,0.33333334,train
0JuRmhhgMw8,16_3905,As you are aware the Constitution of India is the longest Constitution in the world The making of our Constitution itself was an exercise in consensus building You know very well that Constitution plays a very crucial role in our everyday life,0.6666667,train
0JuRmhhgMw8,32_0345,So it is very important that we understand the Constitution better both not just only for the sake of our academic life but also personal life,1.3333334,train
0JuRmhhgMw8,44_681,The course seeks to lay a solid foundation for understanding the system of constitutional government in india with the help of examples from the real life,0.0,train
0JuRmhhgMw8,54_763,"The course explains various provisions of the Constitution about the fundamental rights and other rights electoral system that we adopted functioning and functionaries of the three organs of the government,namely executive,legislature and judiciary",0.6666667,train
0JuRmhhgMw8,72_35300000000001,"It then explains the mechanics of our federal system and how our local government bodies work in rural as well as urban areas, especially in the light of the 73rd and 74th amendments to the Constitution",0.0,train
0JuRmhhgMw8,88_4365,The course elaborates on the dynamic nature of our Constitution as a living document and concludes with the underlying philosophy of the Constitution of India,0.0,train
0OC3wf9x3zQ,0_0124716553288,"Katherine Tweedie, Director and Head of Africa at the World Economic Forum.",0.33333334,train
0OC3wf9x3zQ,3_97346938776,Can you tell us why this year is a milestone year for the forum’s relationship with the African continent?,0.33333334,train
0OC3wf9x3zQ,74_5231292517,"Well, the theme for this year’s meeting is Rethinking Africa’s Growth Strategy.",0.0,train
0OC3wf9x3zQ,79_2324263039,"And I think, as come through the economic crisis, Africa has surprised many with its resilience and a faster than expected recovery.",1.6666666,train
0OC3wf9x3zQ,101_83106576,And what kinds of sessions have you designed in order to bring these leaders together to discuss these issues?,0.33333334,train
0OC3wf9x3zQ,110_02244898,"Well, we’ll be touching on a number of the key issues underpinning Africa’s growth strategy from energy to infrastructure investments, Africa’s capital markets.",0.33333334,train
0OC3wf9x3zQ,16_993877551,"And this year we will be holding the summit in East Africa in Dar es Salaam, Tanzania, hosted by His Excellency President Kikwete.",1.6666666,train
0OC3wf9x3zQ,25_5444444444,And who are the participants going to be and who are the co-chairs of this meeting?,0.33333334,train
0OC3wf9x3zQ,39_5426303855,"We have five co-chairs including Ajai Chowdhry, who is the founder and chairman of HDL Technologies from India.",0.0,train
0OC3wf9x3zQ,48_4324263039,"We have JørgenHaslestad, who is the chief executive of Yara International.",0.0,train
0OC3wf9x3zQ,60_5448979592,And our fifth co-chair is Anna Tibaijuka from the UN-HABITAT.,0.0,train
0OXeN3MhFeA,0_0,[MUSIC PLAYING] Fokus is a very simple tool for people who want to know everything about analytics.,1.0,train
0OXeN3MhFeA,9_8,"We suck up the information and present, very beautifully, on the simple dashboard.",1.6666666,train
0OXeN3MhFeA,54_278,So let's focus on something-- on one thing-- and be good at it.,0.6666667,train
0OXeN3MhFeA,64_784,You know that your product is ready because of the pipeline of your clients.,0.6666667,train
0OXeN3MhFeA,70_45249999999999,"But for you-- for the entrepreneur, as a person, who created the startup-- it's like a never-ending process.",-0.33333334,train
0OXeN3MhFeA,15_632,And this is something very cool for people who want to have the electronic pulse.,0.6666667,train
0OXeN3MhFeA,76_1045,"You see your features and you're thinking about the next two, three steps.",0.33333334,train
0SfejBuLgFo,1_39818594104,"Over the years, both the Duke and his younger brother Prince Harry have become more vocal about their mother's death",0.0,train
0SfejBuLgFo,9_625623582765,"Earlier this year, during a visit to the Child Bereavement UK Centre in London, William comforted a grieving girl, Aoife, nine, who had lost her dad",-0.33333334,train
